text_id,source_type,model,base_prompt,sampling_strategy,few_shot,Filepath,wordtypes,wordtokens,swordtypes,swordtokens,lextypes,lextokens,slextypes,slextokens,verbtypes,verbtokens,sverbtypes,sverbtokens,adjtypes,adjtokens,advtypes,advtokens,nountypes,nountokens,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDW-50,NDW-ER50,NDW-ES50,TTR,MSTTR,CTTR,RTTR,LogTTR,Uber,LV,VV1,SVV1,CVV1,VV2,NV,AdjV,AdvV,ModV
01-a2,Candidate,Gemma 3,With Description,N/A,0.0,cli_text,46,64,4,9,24,31,4,9,9,10,0,0,4,5,3,3,8,13,0.4844,0.2903,0.087,0.0,0.0,0.0,46,37,37.9,38.7,0.7188,0.74,4.0659,5.75,0.9206,22.746,0.7742,0.9,8.1,2.0125,0.2903,0.6154,0.129,0.0968,0.2258
01-a2,Candidate,Gemma 3,With Description,Random,1.0,cli_text,44,61,5,9,24,30,5,9,7,8,0,0,6,7,3,3,8,12,0.4918,0.3,0.1136,0.0,0.0,0.0,44,36,37.8,36.9,0.7213,0.72,3.9836,5.6336,0.9205,22.4659,0.8,0.875,6.125,1.75,0.2333,0.6667,0.2,0.1,0.3
01-a2,Candidate,Gemma 3,With Description,Random,2.0,cli_text,48,67,4,9,24,31,4,9,9,10,0,0,4,5,2,2,9,14,0.4627,0.2903,0.0833,0.0,0.0,0.0,48,36,38.0,37.4,0.7164,0.72,4.1466,5.8641,0.9207,23.0233,0.7742,0.9,8.1,2.0125,0.2903,0.6429,0.129,0.0645,0.1935
01-a2,Candidate,Opus 1,With Description,Contrastive,0.0,cli_text,52,64,8,13,26,31,8,13,9,9,2,2,6,6,4,4,7,12,0.4844,0.4194,0.1538,0.2222,0.4444,0.4714,52,41,41.1,40.9,0.8125,0.82,4.5962,6.5,0.9501,36.1766,0.8387,1.0,9.0,2.1213,0.2903,0.5833,0.1935,0.129,0.3226
01-a2,Candidate,Opus 3,With Description,Contrastive,0.0,cli_text,57,78,5,8,28,37,5,8,10,11,1,1,4,6,3,3,11,17,0.4744,0.2162,0.0877,0.0909,0.0909,0.2132,57,40,39.8,40.2,0.7308,0.8,4.5637,6.454,0.928,26.2812,0.7568,0.9091,9.0909,2.132,0.2703,0.6471,0.1081,0.0811,0.1892
01-a2,Candidate,Claude 4,With Description,Contrastive,0.0,cli_text,52,76,4,6,27,38,4,6,9,9,0,0,4,7,3,3,11,19,0.5,0.1579,0.0769,0.0,0.0,0.0,52,34,37.7,39.9,0.6842,0.68,4.2178,5.9648,0.9124,21.4638,0.7105,1.0,9.0,2.1213,0.2368,0.5789,0.1053,0.0789,0.1842
01-a2,Candidate,Gemma 3,With Description,Contrastive,0.0,cli_text,44,57,4,8,19,24,4,8,7,7,0,0,5,6,0,0,7,11,0.4211,0.3333,0.0909,0.0,0.0,0.0,44,37,39.5,37.0,0.7719,0.74,4.121,5.8279,0.936,27.4243,0.7917,1.0,7.0,1.8708,0.2917,0.6364,0.2083,0.0,0.2083
01-a2,Candidate,GPT-4o,With Description,Contrastive,0.0,cli_text,51,69,5,6,27,33,5,6,7,8,1,1,5,6,4,4,11,15,0.4783,0.1818,0.098,0.125,0.125,0.25,51,35,39.3,38.8,0.7391,0.7,4.3414,6.1397,0.9286,25.7571,0.8182,0.875,6.125,1.75,0.2121,0.7333,0.1515,0.1212,0.2727
01-a2,Candidate,GPT-5,Target Only,N/A,0.0,cli_text,57,72,9,12,29,34,9,12,9,11,2,2,6,6,3,3,11,14,0.4722,0.3529,0.1579,0.1818,0.3636,0.4264,57,40,42.0,40.9,0.7917,0.8,4.75,6.7175,0.9454,34.0012,0.8529,0.8182,7.3636,1.9188,0.2647,0.7857,0.1765,0.0882,0.2647
01-a2,Candidate,GPT-5,With Description,N/A,0.0,cli_text,54,71,8,12,28,34,8,12,8,10,1,1,6,6,3,3,11,15,0.4789,0.3529,0.1481,0.1,0.1,0.2236,54,38,40.1,39.1,0.7606,0.76,4.5316,6.4086,0.9358,28.8325,0.8235,0.8,6.4,1.7889,0.2353,0.7333,0.1765,0.0882,0.2647
