experiment_run,n_in_simplifications,n_in_scores,n_after_join,join_coverage_pct_of_min,dup_in_simplifications,dup_in_scores,avg_meaningbert_orig,avg_meaningbert_ref,avg_bertscore_f1_orig,avg_bertscore_f1_ref,pct_cefr_adj_accuracy,pct_raw_equals_simplified,avg_words,avg_chars,avg_sentences,target_cefr_count_A2,target_cefr_count_B1,predicted_cefr_count_A2,predicted_cefr_count_B1,predicted_cefr_count_B2
o1_2_shot_confidence_20250816-091341,40,40,40,100.0,0,0,0.81822,0.8048400000000001,0.9408475,0.9274175,97.5,,70.1,397.625,4.675,20,20,19,16,5.0
o1_contrastive_20250807-093035,40,40,40,100.0,0,0,0.8382249999999999,0.8092725,0.9443249999999999,0.9264875,97.5,,69.525,399.725,4.6,20,20,17,18,5.0
o1_target_250727-151248,40,40,40,100.0,0,0,0.8262900000000002,0.793285,0.9391825,0.9240074999999999,95.0,,71.725,417.15,5.3,20,20,15,20,5.0
o1_with_description_1_shot_20250727-164428,40,40,40,100.0,0,0,0.8184675,0.79341,0.9454075,0.9261100000000001,90.0,,67.175,388.4,4.625,20,20,11,21,8.0
o1_with_description_20250727-160906,40,40,40,100.0,0,0,0.8253199999999999,0.8016950000000002,0.9391224999999999,0.9226474999999998,97.5,,71.225,414.75,5.05,20,20,14,24,2.0
o1_with_description_2_shot_20250727-172126,40,40,40,100.0,0,0,0.833295,0.8023450000000001,0.9452375,0.9268125000000002,90.0,,69.425,399.475,4.725,20,20,13,19,8.0
o1_with_description_instruct_v1_20250818-133011,40,40,40,100.0,0,0,0.9110925,0.8006475,0.9697850000000001,0.9269700000000001,82.5,,70.425,412.25,3.8,20,20,10,17,13.0
o3_1_shot_confidence_20250816-001331,40,40,40,100.0,0,0,0.7389425000000001,0.77788,0.9249075000000001,0.9216649999999997,100.0,,75.775,424.1,5.825,20,20,22,17,1.0
o3_1_shot_contrastive_confidence_20250816-002914,40,40,40,100.0,0,0,0.749545,0.7742125,0.9227175000000001,0.9208449999999999,100.0,,81.475,455.45,5.8,20,20,18,20,2.0
o3_2_shot_confidence_20250816-092338,40,40,40,100.0,0,0,0.7549024999999999,0.7613175,0.9244499999999999,0.9196075,97.5,,78.8,440.1,6.05,20,20,19,17,4.0
o3_contrastive_20250807-094515,40,40,40,100.0,0,0,0.754675,0.7863200000000001,0.9290424999999999,0.9231324999999998,100.0,,75.125,424.75,5.1,20,20,15,22,3.0
o3_target_250727-151801,40,40,40,100.0,0,0,0.76507,0.7755625,0.9190349999999998,0.9146650000000001,100.0,,75.725,431.5,6.2,20,20,22,15,3.0
o3_with_description_1_shot_20250727-165024,40,40,40,100.0,0,0,0.7776525000000001,0.7903849999999999,0.928445,0.9224325,100.0,,76.15,427.475,5.625,20,20,21,17,2.0
o3_with_description_20250727-161443,40,40,40,100.0,0,0,0.7523575,0.7687225,0.9180524999999999,0.9126375,100.0,,78.3,445.625,6.375,20,20,28,11,1.0
o3_with_description_2_shot_20250727-172708,40,40,40,100.0,0,0,0.7792600000000001,0.772085,0.92928,0.9216325,100.0,,72.475,410.1,5.55,20,20,19,19,2.0
